Departament,Cdig,Tama,P1,P2,P3,P4,P5,P6,P7,P8,Robo
11,5510,PEQUEÑA,0,1,0,0,0,0,0,0,0
11,2012,MICRO,0,0,0,1,0,0,0,0,0
11,4719,PEQUEÑA,0,1,0,0,0,0,0,0,0
11,3600,PEQUEÑA,0,0,0,1,0,0,0,0,0
11,4663,GRANDE,0,0,0,0,0,0,0,0,0
11,4730,MEDIANA,0,1,0,0,0,0,0,0,0
11,4100,MEDIANA,0,1,1,0,0,0,0,0,0
11,4620,PEQUEÑA,0,0,0,0,0,0,0,0,0
11,1101,PEQUEÑA,0,0,0,0,0,0,1,1,1
11,4923,MICRO,0,0,0,0,0,1,0,0,0
11,4662,MEDIANA,1,1,0,0,0,0,1,0,0
11,1030,GRANDE,0,1,0,0,0,0,0,0,0
11,4661,GRANDE,0,0,0,0,0,0,0,0,0
11,4923,PEQUEÑA,0,1,0,0,0,0,0,0,0
11,4923,GRANDE,0,0,1,0,0,0,0,0,1
11,4100,PEQUEÑA,0,0,0,0,0,0,0,0,0
12,7110,PEQUEÑA,0,0,0,0,0,0,0,0,1
12,4100,GRANDE,0,0,1,0,0,0,0,1,1
12,9200,PEQUEÑA,1,0,0,0,0,0,0,0,0
12,1812,PEQUEÑA,0,0,0,0,0,0,0,0,0
12,4719,PEQUEÑA,0,1,1,0,0,0,0,0,1
12,1079,GRANDE,0,0,0,0,0,0,0,0,0
12,9609,MICRO,0,0,0,0,0,0,0,0,0
12,4630,PEQUEÑA,0,0,0,0,0,0,0,0,0
12,899,PEQUEÑA,0,0,0,0,0,0,0,0,0
12,8510,MICRO,0,1,0,1,0,0,0,0,0
12,4721,PEQUEÑA,0,0,0,0,0,0,0,0,0
12,4661,GRANDE,1,1,1,1,1,0,0,0,0
12,8530,PEQUEÑA,1,1,1,0,0,0,0,0,1
12,5510,PEQUEÑA,0,1,0,0,0,0,0,1,1
12,4730,MEDIANA,0,1,0,0,1,0,0,1,1
12,7730,PEQUEÑA,0,0,0,0,0,0,0,0,0
12,4663,GRANDE,0,1,0,0,0,0,0,0,0
12,4921,PEQUEÑA,0,0,0,0,0,0,0,0,0
12,4322,PEQUEÑA,0,0,0,0,0,0,0,0,1
12,6190,PEQUEÑA,0,0,0,0,0,0,0,1,0
12,4663,GRANDE,0,1,0,0,0,0,0,0,0
12,4922,PEQUEÑA,0,1,1,0,0,0,0,0,0
12,4923,MICRO,0,0,0,0,0,1,0,0,0
